No,Nama tempat,kabupaten kota,kategori,latitude,longitude,Fasilitas,rating,Foto
226,Bukit Tursina,Pringsewu,wisata alam,"-5,340470838","104,9859216","Parkir, Toilet, Mushola, Restoran",4.2,https://i.ytimg.com/vi/PB_72tZR2Qc/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCATY49Fs_JU69hU_n4-ZU1gT9zTA
227,Cakra Pesona,Pringsewu,wisata buatan,"-5,35818205","105,006534","Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyeaNeaYaBTFKOaW51xJOKoFugzYMP2S7EUA&s
228,CekDam Fajar Agung,Pringsewu,wisata buatan,"-5,3525114","105,0553877","Parkir, Toilet, Mushola, Restoran",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYr7ovY2H3LfHGhms5KCiSOGhKVVDE6rpzKQ&s
229,Eco Taman Sari,Pringsewu,wisata buatan,"-5,7121296","105,7601467","Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrLDi9Tskcqh5R4frffXGCMp_SOmdyaHmXQg&s
230,Maria Padang Bulan Cave,Pringsewu,wisata alam,-5.35063485,104.949647,"Parkir, Toilet, Mushola, Restoran",4.7,https://cdn0-production-images-kly.akamaized.net/-UD3zAiYZPZxH7VUACyIdlo0xTU=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/1362/original/131130aguamaria.jpg
231,Jembatan Talang 1,Pringsewu,wisata buatan,-5.3575464,104.9375787,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXEXpSy9f6vLlZLAKSUb-sATce1U5Aiq_iig&s
232,Lanakila Lake,Pringsewu,wisata alam,-5.3419875,104.909426,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWs4L4uMAsviChJZDKu6fTlZBqtueGKZVXTQ&s
233,Lembah Akasia,Pringsewu,wisata alam,"-5,3562517","104,9162892","Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-bbAom_65R3aJ5VVTkj3xhOCO8Zf_RTQpdw&s
234,Ndoro Putri,Pringsewu,wisata buatan,"-5,3600754","104,9940993","Parkir, Toilet, Mushola, Restoran",4.3,https://sisparnas.kemenparekraf.go.id/imgdata/690180.jpg
235,Princhsto,Pringsewu,wisata buatan,"-5,36668925","104,9722121","Parkir, Toilet, Mushola, Restoran",4.5,https://thumb.viva.id/vivalampung/665x374/2022/11/09/636b4e438e23a-wahana-kuda-di-prichsto_lampung.jpg
